ISO3,Country,HDI_Category,Region,HDI_Rank,HDI,Life_Expectancy,Health_Index,Mean_Years_Schooling,Mean_Schooling_Index,Expected_Years_Schooling,Expected_Schooling_Index,Education_Index,GNI_Per_Capita,Income_Index,HDI_Calculated,Health_Contribution,Education_Contribution,Income_Contribution,Bottleneck_Component,Bottleneck_Value,Strongest_Component,Strongest_Value,Component_Gap
AZE,Azerbaijan,High,ECA,91.0,0.745,69.3658,0.759473846153846,10.5429697,0.5857205388888889,13.49689007,0.7498272261111111,0.6677738824999999,14256.74456,0.749208511062985,0.7242941621454575,1.0485709893121071,0.9219650211206496,1.0343981081439726,Education,0.6677738824999999,Health,0.759473846153846,0.09169996365384614
BDI,Burundi,Low,SSA,187.0,0.426,61.6627,0.6409646153846154,3.129266883,0.17384816016666668,10.72272189,0.5957067716666667,0.3847774659166667,731.7867086,0.3006490776953934,0.42011467645139156,1.525689654069433,0.9158867506529174,0.7156357407813134,Income,0.3006490776953934,Health,0.6409646153846154,0.34031553768922196
BEL,Belgium,Very High,,13.0,0.937,81.8787,0.9519799999999999,12.37567997,0.6875377761111111,19.60421944,1.0,0.8437688880555556,52293.39977,0.9455265918358868,0.9123784661079193,1.0434047222322282,0.9248014057751246,1.0363315520470062,Education,0.8437688880555556,Health,0.9519799999999999,0.10821111194444433
BEN,Benin,Low,SSA,166.0,0.525,59.821,0.6126307692307692,4.304786445,0.2391548025,10.76667976,0.5981488755555556,0.4186518390277778,3408.965923,0.533074783286704,0.515165355359562,1.1891924852034756,0.8126552662602435,1.0347644261028424,Education,0.4186518390277778,Health,0.6126307692307692,0.1939789302029914
BFA,Burkina Faso,Low,SSA,184.0,0.449,59.2696,0.6041476923076923,2.114962259,0.11749790327777777,9.142100334,0.507894463,0.31269618313888886,2117.915916,0.46117581247543443,0.44331327954320726,1.3628008006667651,0.7053616428118124,1.0402932502961175,Education,0.31269618313888886,Health,0.6041476923076923,0.2914515091688034
BGD,Bangladesh,Medium,SA,129.0,0.661,72.3811,0.805863076923077,7.379059792,0.4099477662222222,12.44198036,0.6912211311111112,0.5505844486666667,5472.104781,0.6045625625042206,0.6449244115562052,1.2495465553529386,0.8537193488119084,0.9374161555544296,Education,0.5505844486666667,Health,0.805863076923077,0.25527862825641034
BGR,Bulgaria,High,,68.0,0.795,71.798,0.7968923076923077,11.41318035,0.6340655749999999,13.89729023,0.7720716794444444,0.7030686272222222,23078.95595,0.8219707135727466,0.7722381141079676,1.0319256368391228,0.9104298458958544,1.0644006020373993,Education,0.7030686272222222,Income,0.8219707135727466,0.11890208635052446
BHR,Bahrain,Very High,AS,35.0,0.875,78.7605,0.9040076923076922,11.04658985,0.6136994361111111,16.29755974,0.9054199855555556,0.7595597108333334,39497.24788,0.9031344370409591,0.8527639180648686,1.0600913959388765,0.8907033878226948,1.0590673666052774,Education,0.7595597108333334,Health,0.9040076923076922,0.14444798147435878
BHS,Bahamas,Very High,LAC,55.0,0.812,71.5983,0.79382,12.64192386,0.7023291033333333,12.89945,0.7166361111111111,0.7094826072222222,30486.18429,0.8640174393000595,0.7865544022358657,1.0092372475997604,0.9020133956474484,1.0984840169274963,Education,0.7094826072222222,Income,0.8640174393000595,0.15453483207783725
BIH,Bosnia and Herzegovina,High,ECA,74.0,0.78,75.3003,0.850773846153846,10.53631973,0.5853510961111111,13.8,0.7666666666666667,0.6760088813888889,15241.91465,0.7593019158164209,0.7586829822918251,1.1213825352768998,0.8910294512561825,1.0008157999309886,Education,0.6760088813888889,Health,0.850773846153846,0.17476496476495706
