ISO3,Country,Health_Index,Education_Index,Income_Index
GEO,Georgia,0.7952923076923077,0.7886316511111111,0.7534647913292357
GHA,Ghana,0.6737753846153847,0.5660462981944445,0.6119008870757989
GIN,Guinea,0.5983415384615385,0.33353953936111114,0.4850703645858297
GMB,Gambia,0.6474307692307693,0.3904476030555556,0.46499925363895483
GNB,Guinea-Bissau,0.6100353846153845,0.39435504944444444,0.4454281977716832
GNQ,Equatorial Guinea,0.6245276923076922,0.4346056388888889,0.724106215310846
GRC,Greece,0.9247784615384617,0.8169036177777778,0.8564809553597278
GRD,Grenada,0.8451723076923077,0.7508917777777777,0.740785999796606
GTM,Guatemala,0.7574892307692308,0.45121529369444446,0.6750047736766245
GUY,Guyana,0.7026676923076923,0.5866721988888889,0.8178955448707691
HKG,Hong Kong,1.0,0.8195660908333333,0.9727172971753811
HND,Honduras,0.7711215384615385,0.4783692823888889,0.5996770614160104
HRV,Croatia,0.8858523076923076,0.7584217775,0.8622536650912279
HTI,Haiti,0.6644984615384615,0.4237222222222222,0.5058896883517494
HUN,Hungary,0.8389246153846155,0.7578671672222221,0.875017289047898
IDN,Indonesia,0.7318507692307693,0.6195945508888889,0.7163028325365473
IND,India,0.7267661538461538,0.5147147120833333,0.6326418578099257
IRL,Ireland,0.9538092307692309,0.8217284174999999,1.0
IRN,Iran,0.8288446153846153,0.7014361880555555,0.7352772459236994
IRQ,Iraq,0.7750446153846153,0.5553629627500001,0.6952932932512202
ISL,Iceland,0.96428,0.8824213875,0.9552820679380805
ISR,Israel,0.9577692307692307,0.8165487880555555,0.910692418890874
ITA,Italy,0.9669261538461539,0.7490805519444445,0.9154046812600373
JAM,Jamaica,0.7769276923076922,0.6266541411388888,0.6769180204334321
JOR,Jordan,0.8347123076923076,0.5859233275,0.6944806037790132
JPN,Japan,0.9966753846153846,0.794103506111111,0.9133983924187745
KAZ,Kazakhstan,0.7594184615384616,0.7809045063888889,0.8275215910286289
KEN,Kenya,0.6373384615384615,0.4819599541666667,0.5741283818020458
KGZ,Kyrgyzstan,0.768883076923077,0.6824834905555556,0.5772276320401197
KHM,Cambodia,0.7628230769230769,0.4598811111111111,0.5601694406878955
KIR,Kiribati,0.7294953846153845,0.5496237450555556,0.5595715791135749
KNA,Saint Kitts and Nevis,0.7951107692307692,0.6691787936111111,0.8237882995089557
KOR,South Korea,0.9799661538461538,0.8065186175000001,0.9211522339104056
KWT,Kuwait,0.90266,0.6292348871666666,0.9473251620216231
LAO,Lao,0.7393969230769231,0.4308363974999999,0.6561484578272675
LBN,Lebanon,0.8468800000000001,0.5556807222222222,0.6882993829774431
LBR,Liberia,0.62688,0.4306330477777778,0.386136502360634
LBY,Libya,0.798633846153846,0.5681740277777777,0.7602286503801452
LCA,Saint Lucia,0.7863292307692308,0.5947541661388889,0.7237848934420459
LIE,Liechtenstein,0.9731923076923076,0.7700030569444445,1.0
LKA,Sri Lanka,0.8676784615384616,0.6935334702777778,0.7302867706624137
LSO,Lesotho,0.5086461538461539,0.5014184088055555,0.49787942494041926
LTU,Lithuania,0.826463076923077,0.8273100322222222,0.8970235873761092
LUX,Luxembourg,0.9635184615384614,0.7614814477777778,1.0
LVA,Latvia,0.8242861538461538,0.8182013830555556,0.875082801558992
MAR,Morocco,0.8314138461538462,0.5574419397222222,0.6481568134376013
MDA,Moldova,0.7514753846153847,0.7292941675,0.7556244772603283
MDG,Madagascar,0.6843892307692307,0.42376277650000005,0.4073978208029117
MDV,Maldives,0.9218184615384615,0.5543780452777778,0.7613319005609303
MEX,Mexico,0.7725030769230768,0.6690413950555556,0.7835530874405006
MHL,Marshall Islands,0.6964430769230769,0.5867349836111111,0.5789783751883766
MKD,North Macedonia,0.8283307692307692,0.6625717419444443,0.7658555957585714
MLI,Mali,0.5990984615384616,0.2703621560277778,0.4622215942618771
MLT,Malta,0.9811830769230769,0.8069119452777778,0.9007724680605135
MMR,Myanmar,0.7026399999999999,0.4801649327777778,0.5514734177105741
MNE,Montenegro,0.8668092307692309,0.7571692441666666,0.8065472423000017
MNG,Mongolia,0.7842369230769229,0.6778902742499999,0.7042713142852339
MOZ,Mozambique,0.6049953846153846,0.3726887066111111,0.3751167425929476
MRT,Mauritania,0.6825169230769231,0.39708234886111105,0.5931916056237204
MUS,Mauritius,0.8239261538461539,0.7111511180555555,0.8149122856930096
MWI,Malawi,0.6600676923076924,0.4769077948611111,0.4055655652976141
MYS,Malaysia,0.8443676923076923,0.6663361127777778,0.8437478097825941
NAM,Namibia,0.6041384615384615,0.5310894499166666,0.6734420382439525
NER,Niger,0.6396353846153847,0.2520508135277778,0.38029627145089673
NGA,Nigeria,0.5027076923076923,0.48079605647222223,0.5844610415715158
NIC,Nicaragua,0.8282584615384615,0.5495932730555556,0.608719755880328
